Kind,Name,CountLineCode,Cyclomatic,RatioCommentToCode
File,"ACL.java",240,,"1.08"
File,"ACLContext.java",24,,"1.79"
File,"ACLTest.java",171,,"0.14"
File,"AWTProblem.java",11,,"2.36"
File,"AbortException.java",10,,"3.40"
File,"AbortedFreeStyleBuildTest.java",45,,"0.00"
File,"AboutJenkins.java",42,,"0.12"
File,"AboutJenkinsTest.java",68,,"0.49"
File,"AbstractAsyncNodeMonitorDescriptor.java",113,,"0.39"
File,"AbstractAuthenticationToken.java",59,,"0.44"
File,"AbstractBuild.java",812,,"0.54"
File,"AbstractBuildRangeCommand.java",20,,"0.30"
File,"AbstractBuildTest.java",257,,"0.18"
File,"AbstractCIBase.java",173,,"0.47"
File,"AbstractCloudComputer.java",32,,"1.06"
File,"AbstractCloudImpl.java",26,,"0.81"
File,"AbstractCloudSlave.java",51,,"0.84"
File,"AbstractCommandInstaller.java",57,,"0.67"
File,"AbstractDescribableImpl.java",9,,"3.56"
File,"AbstractDiskSpaceMonitor.java",49,,"0.35"
File,"AbstractGroovyViewModule.java",35,,"0.29"
File,"AbstractItem.java",626,,"0.47"
File,"AbstractItem2Test.java",44,,"0.55"
File,"AbstractItemOptionHandler.java",15,,"1.80"
File,"AbstractItemSecurity1114Test.java",69,,"0.06"
File,"AbstractItemSecurityTest.java",52,,"0.50"
File,"AbstractItemTest.java",97,,"0.13"
File,"AbstractItemTest.java",117,,"0.06"
File,"AbstractLazyLoadRunMap.java",454,,"0.45"
File,"AbstractLazyLoadRunMapTest.java",316,,"0.14"
File,"AbstractMarkupText.java",59,,"1.53"
File,"AbstractModelObject.java",62,,"0.77"
File,"AbstractNodeMonitorDescriptor.java",163,,"0.82"
File,"AbstractPasswordBasedSecurityRealm.java",110,,"0.59"
File,"AbstractProject.java",1195,,"0.57"
File,"AbstractProjectOptionHandler.java",21,,"1.33"
File,"AbstractProjectTest.java",475,,"0.25"
File,"AbstractQueueSorterImpl.java",29,,"0.86"
File,"AbstractQueueTask.java",5,,"5.20"
File,"AbstractQueueTaskTest.java",56,,"0.41"
File,"AbstractScmTagAction.java",62,,"0.84"
File,"AbstractScmTagActionTest.java",94,,"0.24"
File,"AbstractStatusIcon.java",3,,"9.67"
File,"AbstractSubTask.java",4,,"6.50"
File,"AbstractTaskListener.java",11,,"0.27"
File,"AbstractTopLevelItem.java",21,,"0.24"
File,"AbstractUserDetailsAuthenticationProvider.java",49,,"0.55"
File,"AccessControlled.java",36,,"1.64"
File,"AccessDeniedException.java",14,,"1.86"
File,"AccessDeniedException2.java",32,,"0.66"
File,"AccessDeniedException3.java",47,,"0.45"
File,"AccessDeniedException3Test.java",81,,"0.28"
File,"AccessDeniedHandlerImpl.java",24,,"1.21"
File,"AccountCreationFailedException.java",9,,"3.11"
File,"AccountExpiredException.java",20,,"1.30"
File,"AcegiSecurityException.java",14,,"1.93"
File,"AcegiSecurityExceptionFilter.java",53,,"0.51"
File,"Action.java",9,,"13.78"
File,"Actionable.java",188,,"0.81"
File,"ActionableTest.java",176,,"0.13"
File,"ActionsTest.java",19,,"1.37"
File,"AdaptedIterator.java",24,,"1.38"
File,"AddJobToViewCommand.java",29,,"0.93"
File,"AddJobToViewCommandTest.java",70,,"0.37"
File,"AdminWhitelistRule.java",23,,"0.57"
File,"AdministrativeError.java",19,,"1.11"
File,"AdministrativeMonitor.java",74,,"1.73"
File,"AdministrativeMonitorsApi.java",43,,"0.00"
File,"AdministrativeMonitorsApiData.java",19,,"0.00"
File,"AdministrativeMonitorsConfiguration.java",35,,"0.66"
File,"AdministrativeMonitorsDecorator.java",104,,"0.45"
File,"AdministrativeMonitorsDecoratorTest.java",86,,"0.27"
File,"AdvancedButtonTest.java",52,,"0.10"
File,"Advapi32.java",99,,"2.41"
File,"AgentComputerUtil.java",26,,"1.42"
File,"AgentInboundUrlTest.java",59,,"0.63"
File,"AgentProtocol.java",38,,"1.87"
File,"AgentProtocolTest.java",53,,"0.53"
